ticker,bars,start,end,trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity
EURUSD=X,17001,2023-09-03,2026-06-05,16,0.125,-0.6586592553328191,-5.269274042662586,-5.801400360300804,0.1989613014838136,9473.072595733742
GBPUSD=X,17003,2023-09-03,2026-06-05,20,0.15,-0.751467684075254,-7.514676840752532,-8.618813471669727,0.17698163797127872,9248.532315924747
AUDUSD=X,17101,2023-09-03,2026-06-05,14,0.2857142857142857,-0.23793592640582883,-1.6655514848407993,-2.981418574285404,0.6702236026281092,9833.44485151592
USDJPY=X,16904,2023-09-03,2026-06-05,15,0.4,0.0735743907158394,0.5518079303687751,-1.8532474071912033,1.1319721945837848,10055.180793036878
SPY,5002,2023-07-25,2026-06-05,0,,,0.0,0.0,,10000.0
QQQ,5003,2023-07-25,2026-06-05,0,,,0.0,0.0,,10000.0
ES=F,13499,2024-01-25,2026-06-05,27,0.25925925925925924,-0.3218320171410561,-4.344732231404302,-5.018475962898767,0.5449653001566677,9565.52677685957
NQ=F,13496,2024-01-25,2026-06-05,19,0.3684210526315789,-0.024556483896884224,-0.2332865970203768,-3.9127005020219583,0.9544025610440038,9976.671340297962
BTC-USD,17242,2024-06-17,2026-06-06,13,0.5384615384615384,0.30637139538625896,1.9914140700106886,-1.5478359227906187,1.6407508904613708,10199.141407001069
ETH-USD,17239,2024-06-17,2026-06-06,23,0.34782608695652173,0.24635428145638807,2.8330742367484785,-1.040789056323849,1.4698433249298926,10283.307423674849
