trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker,preset,bars,start,end
27,0.25925925925925924,-0.3218320171410561,-4.344732231404302,-5.018475962898767,0.5449653001566677,9565.52677685957,ES=F,baseline,13499,2024-01-25,2026-06-05
9,0.5555555555555556,-0.08330773673985094,-0.37488481532933493,-1.4145926053290294,0.8230125969704807,9962.511518467067,ES=F,v2,13499,2024-01-25,2026-06-05
22,0.7272727272727273,0.2790097140127293,3.0691068541400357,-1.5998258821189029,1.9361642308492857,10306.910685414005,ES=F,v2_loose,13499,2024-01-25,2026-06-05
19,0.3684210526315789,-0.024556483896884224,-0.2332865970203768,-3.9127005020219583,0.9544025610440038,9976.671340297962,NQ=F,baseline,13496,2024-01-25,2026-06-05
9,0.7777777777777778,0.514237761178991,2.314069925305451,-0.5366752088475724,3.1587850715066565,10231.406992530545,NQ=F,v2,13496,2024-01-25,2026-06-05
15,0.6666666666666666,0.15244501853316567,1.1433376389987426,-1.1464992370636533,1.4294791722488174,10114.333763899875,NQ=F,v2_loose,13496,2024-01-25,2026-06-05
22,0.22727272727272727,-0.2881359473447986,-3.169495420792734,-3.5364564047963865,0.5158406221806326,9683.050457920726,YM=F,baseline,13492,2024-01-25,2026-06-05
10,0.4,-0.05839837507270536,-0.29199187536355087,-2.154502602317994,0.8924973462068907,9970.800812463645,YM=F,v2,13492,2024-01-25,2026-06-05
17,0.6470588235294118,0.48262381762274237,4.102302449793305,-2.169773603093023,2.4869726600460678,10410.230244979331,YM=F,v2_loose,13492,2024-01-25,2026-06-05
0,,,0.0,0.0,,10000.0,^GSPC,baseline,5003,2023-07-25,2026-06-05
2,0.0,-1.1026735768835576,-1.1026735768835505,-1.1026735768835532,0.0,9889.732642311645,^GSPC,v2,5003,2023-07-25,2026-06-05
10,0.7,0.16114109967742443,0.8057054983871215,-0.9229934494491927,1.48226539614571,10080.570549838712,^GSPC,v2_loose,5003,2023-07-25,2026-06-05
0,,,0.0,0.0,,10000.0,^NDX,baseline,5003,2023-07-25,2026-06-05
2,1.0,0.7378904431439733,0.7378904431439626,0.0,,10073.789044314397,^NDX,v2,5003,2023-07-25,2026-06-05
9,0.5555555555555556,0.020075920840320314,0.09034164378145526,-1.066309710133952,1.0422013589691947,10009.034164378145,^NDX,v2_loose,5003,2023-07-25,2026-06-05
0,,,0.0,0.0,,10000.0,^DJI,baseline,5003,2023-07-25,2026-06-05
1,1.0,0.14333048054214154,0.07166524027106824,-0.0018424387034997236,,10007.166524027107,^DJI,v2,5003,2023-07-25,2026-06-05
14,0.9285714285714286,0.30744558605392647,2.1521191023774477,-0.5452929793838546,4.884693239334282,10215.211910237746,^DJI,v2_loose,5003,2023-07-25,2026-06-05
14,0.2857142857142857,-0.2350362306180664,-1.6452536143264695,-1.864622276615737,0.6409429564630519,9835.474638567353,GC=F,baseline,13539,2024-01-25,2026-06-05
12,0.5833333333333334,0.17134392751346006,1.028063565080739,-2.080676760354918,1.3858296796511342,10102.806356508074,GC=F,v2,13539,2024-01-25,2026-06-05
22,0.5909090909090909,0.11228929991158738,1.2351822990274597,-1.5670203955485125,1.2572220563076415,10123.518229902746,GC=F,v2_loose,13539,2024-01-25,2026-06-05
14,0.42857142857142855,0.3889881278156736,2.7229168947096927,-1.0269975696263742,1.8964782519502887,10272.291689470969,SI=F,baseline,13536,2024-01-25,2026-06-05
9,0.3333333333333333,-0.18738099656359264,-0.8432144845361811,-1.5549124360368978,0.7291969853574789,9915.678551546382,SI=F,v2,13536,2024-01-25,2026-06-05
22,0.5,-0.025932905714350748,-0.285261962857819,-2.067995384881051,0.9499236930113881,9971.473803714218,SI=F,v2_loose,13536,2024-01-25,2026-06-05
9,0.0,-0.944583632238349,-4.250626345072539,-4.250626345072542,0.0,9574.937365492746,HG=F,baseline,13533,2024-01-25,2026-06-05
5,0.4,-0.16875133922531962,-0.42187834806328706,-1.3441878229941358,0.7350068459304931,9957.81216519367,HG=F,v2,13533,2024-01-25,2026-06-05
13,0.5384615384615384,0.11376266841888424,0.739457344722716,-2.0991976380226696,1.2364290564043054,10073.94573447227,HG=F,v2_loose,13533,2024-01-25,2026-06-05
13,0.3076923076923077,-0.07530754574532779,-0.48949904734462146,-2.808143681083612,0.8784187121607762,9951.050095265538,CL=F,baseline,13318,2024-01-25,2026-06-05
8,0.625,0.11622733430730461,0.46490933722922456,-0.5194424587145161,1.2998190851271163,10046.490933722922,CL=F,v2,13318,2024-01-25,2026-06-05
20,0.6,-0.12372770610542312,-1.237277061054265,-2.3797076032325575,0.7000627011805634,9876.272293894574,CL=F,v2_loose,13318,2024-01-25,2026-06-05
21,0.2857142857142857,-0.28835867225204165,-3.027766058646486,-5.532822556975148,0.5406390181931167,9697.223394135352,NG=F,baseline,13294,2024-01-25,2026-06-05
10,0.5,0.24106888457515618,1.205344422875787,-1.2426768042017926,1.465301687010446,10120.534442287579,NG=F,v2,13294,2024-01-25,2026-06-05
20,0.5,0.06728858854359686,0.672885885435992,-2.0627280334224274,1.1294379480853234,10067.288588543599,NG=F,v2_loose,13294,2024-01-25,2026-06-05
15,0.4,0.13679668262020228,1.0259751196515232,-1.584130854272521,1.2675959483059696,10102.597511965152,RB=F,baseline,13102,2024-01-25,2026-06-05
6,0.5,-0.18156397290556206,-0.544691918716711,-1.4494817496216073,0.652173393080193,9945.53080812833,RB=F,v2,13102,2024-01-25,2026-06-05
13,0.7692307692307693,0.38137350471111636,2.4789277806222643,-0.6922389327183498,2.5424592808853608,10247.892778062227,RB=F,v2_loose,13102,2024-01-25,2026-06-05
6,0.0,-0.6493907936591959,-1.948172380977553,-2.1524361383679986,0.0,9805.182761902244,CC=F,baseline,5742,2024-01-25,2026-06-05
3,0.6666666666666666,-0.16084975355294817,-0.24127463032942442,-0.5076416859585708,0.5259837667162595,9975.872536967057,CC=F,v2,5742,2024-01-25,2026-06-05
13,0.8461538461538461,0.2767606545952161,1.7989442548689505,-0.5106241798899194,2.7382741124767285,10179.894425486895,CC=F,v2_loose,5742,2024-01-25,2026-06-05
13,0.5384615384615384,0.30637139538625896,1.9914140700106886,-1.5478359227906187,1.6407508904613708,10199.141407001069,BTC-USD,baseline,17243,2024-06-17,2026-06-06
15,0.5333333333333333,-0.014259744402035495,-0.10694808301529024,-1.7186792667304325,0.970465229554901,9989.305191698471,BTC-USD,v2,17243,2024-06-17,2026-06-06
24,0.5,0.020248440100475308,0.24298128120572304,-2.4661674103321998,1.039193719680474,10024.298128120572,BTC-USD,v2_loose,17243,2024-06-17,2026-06-06
24,0.25,-0.2723456789768835,-3.268148147722605,-4.052978301598796,0.5857956383329801,9673.18518522774,SOL-USD,baseline,17242,2024-06-17,2026-06-06
12,0.5833333333333334,0.15347920274722632,0.9208752164833189,-1.0336555199980972,1.3555011862208701,10092.087521648333,SOL-USD,v2,17242,2024-06-17,2026-06-06
26,0.5,0.08992924873809784,1.1690802335952766,-2.537945717023474,1.173768632982318,10116.908023359529,SOL-USD,v2_loose,17242,2024-06-17,2026-06-06
