trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker,preset,bars,start,end
0,,,0.0,0.0,,10000.0,EURUSD=X,baseline,5841,2003-12-01,2026-06-05
0,,,0.0,0.0,,10000.0,EURUSD=X,v2,5841,2003-12-01,2026-06-05
1,0.0,-0.6492070105603154,-0.32460350528015214,-0.32460350528015625,0.0,9967.539649471984,GBPUSD=X,baseline,5853,2003-12-01,2026-06-05
1,0.0,-1.038381579029687,-0.5191907895148451,-0.5191907895148506,0.0,9948.080921048515,GBPUSD=X,v2,5853,2003-12-01,2026-06-05
5,0.6,0.6862473378896804,1.715618344724179,-0.3094946847101207,3.931655575385085,10171.561834472419,USDJPY=X,baseline,7296,1998-05-04,2026-06-05
1,0.0,-1.0291290547324352,-0.5145645273662236,-0.5145645273662194,0.0,9948.543547263378,USDJPY=X,v2,7296,1998-05-04,2026-06-05
0,,,0.0,0.0,,10000.0,AUDUSD=X,baseline,5218,2006-05-16,2026-06-06
0,,,0.0,0.0,,10000.0,AUDUSD=X,v2,5218,2006-05-16,2026-06-06
2,0.5,0.2342485473395854,0.23424854733959943,-0.3172041103256561,1.7384789153554494,10023.42485473396,USDCAD=X,baseline,5910,2003-09-17,2026-06-06
1,1.0,0.021729837011110385,0.010864918505548715,-0.006698850270549883,,10001.086491850556,USDCAD=X,v2,5910,2003-09-17,2026-06-06
1,0.0,-0.5725822796207469,-0.28629113981037957,-0.30394651369996467,0.0,9971.370886018962,SPY,baseline,7330,1997-04-17,2026-06-05
4,1.0,0.12683466389786674,0.2536693277957136,0.0,,10025.366932779572,SPY,v2,7330,1997-04-17,2026-06-05
1,1.0,1.4190329533939803,0.7095164766969919,0.0,,10070.951647669699,QQQ,baseline,6853,1999-03-10,2026-06-05
2,1.0,0.07988312118627215,0.07988312118627494,0.0,,10007.988312118627,QQQ,v2,6853,1999-03-10,2026-06-05
3,0.3333333333333333,-0.14852158859715708,-0.2227823828957476,-0.5196852990062167,0.7230745841712094,9977.721761710425,DIA,baseline,7139,1998-01-20,2026-06-05
3,1.0,0.08797243620145805,0.1319586543021778,0.0,,10013.195865430218,DIA,v2,7139,1998-01-20,2026-06-05
2,0.5,0.1296237083214085,0.12962370832141357,-0.5170997705404261,1.250674464979818,10012.962370832141,IWM,baseline,6545,2000-05-26,2026-06-05
3,1.0,0.15845934894633737,0.23768902341951836,0.0,,10023.768902341952,IWM,v2,6545,2000-05-26,2026-06-05
7,0.0,-0.8481589222155219,-2.9685562277543265,-3.0042204848029748,0.0,9703.144377224568,^GSPC,baseline,7330,1997-04-17,2026-06-05
8,0.75,-0.20003901063560522,-0.8001560425424215,-0.8473161766411795,0.21797622436122951,9919.984395745758,^GSPC,v2,7330,1997-04-17,2026-06-05
3,0.0,-1.0264065418768746,-1.5396098128153235,-1.5396098128153244,0.0,9846.039018718468,^NDX,baseline,7330,1997-04-17,2026-06-05
5,0.6,-0.36052974204193833,-0.9013243551048489,-0.9013243551048435,0.11240687341990264,9909.867564489516,^NDX,v2,7330,1997-04-17,2026-06-05
4,0.25,-0.35984380199607335,-0.7196876039921363,-1.0416506689779652,0.4629840823662307,9928.031239600787,^DJI,baseline,7330,1997-04-17,2026-06-05
5,1.0,0.07341623133488566,0.1835405783372046,0.0,,10018.354057833722,^DJI,v2,7330,1997-04-17,2026-06-05
6,0.3333333333333333,0.007564594444655507,0.022693783333971318,-1.1935870295186581,1.018881023307932,10002.269378333398,^FTSE,baseline,7259,1997-09-08,2026-06-05
4,0.75,-0.1368162322089218,-0.27363246441783895,-0.5135000748353741,0.46712283439185204,9972.636753558216,^FTSE,v2,7259,1997-09-08,2026-06-05
1,0.0,-1.0168844296632569,-0.5084422148316281,-0.5084422148316299,0.0,9949.155778516837,^GDAXI,baseline,7265,1997-10-15,2026-06-05
2,1.0,1.3037836607219198,1.3037836607219244,0.0,,10130.378366072193,^GDAXI,v2,7265,1997-10-15,2026-06-05
0,,,0.0,0.0,,10000.0,^N225,baseline,7166,1997-03-07,2026-06-05
0,,,0.0,0.0,,10000.0,^N225,v2,7166,1997-03-07,2026-06-05
3,0.0,-0.752505848613691,-1.128758772920535,-1.1292868300066672,0.0,9887.124122707946,GC=F,baseline,6019,2002-06-18,2026-06-05
1,1.0,0.08364688527736085,0.041823442638677655,0.0,,10004.182344263867,GC=F,v2,6019,2002-06-18,2026-06-05
0,,,0.0,0.0,,10000.0,SI=F,baseline,6020,2002-06-18,2026-06-05
2,0.5,0.09104341633310746,0.09104341633310309,-0.5059464429149739,1.1799467465539795,10009.10434163331,SI=F,v2,6020,2002-06-18,2026-06-05
4,0.25,-0.23349824806976208,-0.46699649613950456,-1.0706284895326086,0.5664562130551074,9953.30035038605,BTC-USD,baseline,4281,2014-09-17,2026-06-06
5,0.8,0.1500981613933844,0.3752454034834596,-0.502689419877787,1.7409923209092613,10037.524540348346,BTC-USD,v2,4281,2014-09-17,2026-06-06
