ticker,tr_base,tr_v2,wr_base,wr_v2,ret_base,ret_v2,dd_base,dd_v2,pf_base,pf_v2,ret_delta
EURUSD=X,0,0,,,0.0,0.0,0.0,0.0,,,0.0
GBPUSD=X,1,1,0.0,0.0,-0.32460350528015214,-0.5191907895148451,-0.32460350528015625,-0.5191907895148506,0.0,0.0,-0.19458728423469296
USDJPY=X,5,1,0.6,0.0,1.715618344724179,-0.5145645273662236,-0.3094946847101207,-0.5145645273662194,3.931655575385085,0.0,-2.2301828720904027
AUDUSD=X,0,0,,,0.0,0.0,0.0,0.0,,,0.0
USDCAD=X,2,1,0.5,1.0,0.23424854733959943,0.010864918505548715,-0.3172041103256561,-0.006698850270549883,1.7384789153554494,,-0.22338362883405072
SPY,1,4,0.0,1.0,-0.28629113981037957,0.2536693277957136,-0.30394651369996467,0.0,0.0,,0.5399604676060932
QQQ,1,2,1.0,1.0,0.7095164766969919,0.07988312118627494,0.0,0.0,,,-0.629633355510717
DIA,3,3,0.3333333333333333,1.0,-0.2227823828957476,0.1319586543021778,-0.5196852990062167,0.0,0.7230745841712094,,0.3547410371979254
IWM,2,3,0.5,1.0,0.12962370832141357,0.23768902341951836,-0.5170997705404261,0.0,1.250674464979818,,0.1080653150981048
^GSPC,7,8,0.0,0.75,-2.9685562277543265,-0.8001560425424215,-3.0042204848029748,-0.8473161766411795,0.0,0.21797622436122951,2.168400185211905
^NDX,3,5,0.0,0.6,-1.5396098128153235,-0.9013243551048489,-1.5396098128153244,-0.9013243551048435,0.0,0.11240687341990264,0.6382854577104746
^DJI,4,5,0.25,1.0,-0.7196876039921363,0.1835405783372046,-1.0416506689779652,0.0,0.4629840823662307,,0.9032281823293409
^FTSE,6,4,0.3333333333333333,0.75,0.022693783333971318,-0.27363246441783895,-1.1935870295186581,-0.5135000748353741,1.018881023307932,0.46712283439185204,-0.29632624775181027
^GDAXI,1,2,0.0,1.0,-0.5084422148316281,1.3037836607219244,-0.5084422148316299,0.0,0.0,,1.8122258755535525
^N225,0,0,,,0.0,0.0,0.0,0.0,,,0.0
GC=F,3,1,0.0,1.0,-1.128758772920535,0.041823442638677655,-1.1292868300066672,0.0,0.0,,1.1705822155592127
SI=F,0,2,,0.5,0.0,0.09104341633310309,0.0,-0.5059464429149739,,1.1799467465539795,0.09104341633310309
BTC-USD,4,5,0.25,0.8,-0.46699649613950456,0.3752454034834596,-1.0706284895326086,-0.502689419877787,0.5664562130551074,1.7409923209092613,0.8422418996229641
