trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker,preset,bars,start,end
16,0.125,-0.6586592553328191,-5.269274042662586,-5.801400360300804,0.1989613014838136,9473.072595733742,EURUSD=X,baseline,17001,2023-09-03,2026-06-05
7,0.14285714285714285,-0.7965636160518773,-2.787972656181592,-2.787972656181591,0.07967249294701097,9721.20273438184,EURUSD=X,v2,17001,2023-09-03,2026-06-05
20,0.15,-0.751467684075254,-7.514676840752532,-8.618813471669727,0.17698163797127872,9248.532315924747,GBPUSD=X,baseline,17003,2023-09-03,2026-06-05
9,0.6666666666666666,0.3558427778862395,1.6012925004880607,-1.035475591603099,1.9082676076888585,10160.129250048807,GBPUSD=X,v2,17003,2023-09-03,2026-06-05
14,0.2857142857142857,-0.23793592640582883,-1.6655514848407993,-2.981418574285404,0.6702236026281092,9833.44485151592,AUDUSD=X,baseline,17101,2023-09-03,2026-06-05
9,0.1111111111111111,-0.8339383961625185,-3.7527227827313103,-3.9599748136400743,0.05233670431308845,9624.72772172687,AUDUSD=X,v2,17101,2023-09-03,2026-06-05
15,0.4,0.0735743907158394,0.5518079303687751,-1.8532474071912033,1.1319721945837848,10055.180793036878,USDJPY=X,baseline,16904,2023-09-03,2026-06-05
8,0.125,-0.44539908050013866,-1.781596322000567,-2.4600015785668803,0.2757743175764678,9821.840367799943,USDJPY=X,v2,16904,2023-09-03,2026-06-05
20,0.3,-0.25905255087462403,-2.5905255087462553,-4.65404599049534,0.65087189921829,9740.947449125375,USDCAD=X,baseline,17101,2023-09-03,2026-06-05
11,0.36363636363636365,-0.11077017795188006,-0.6092359787353452,-3.0635844541503374,0.8366068003827228,9939.076402126466,USDCAD=X,v2,17101,2023-09-03,2026-06-05
27,0.25925925925925924,-0.3218320171410561,-4.344732231404302,-5.018475962898767,0.5449653001566677,9565.52677685957,ES=F,baseline,13499,2024-01-25,2026-06-05
9,0.5555555555555556,-0.08330773673985094,-0.37488481532933493,-1.4145926053290294,0.8230125969704807,9962.511518467067,ES=F,v2,13499,2024-01-25,2026-06-05
19,0.3684210526315789,-0.024556483896884224,-0.2332865970203768,-3.9127005020219583,0.9544025610440038,9976.671340297962,NQ=F,baseline,13496,2024-01-25,2026-06-05
9,0.7777777777777778,0.514237761178991,2.314069925305451,-0.5366752088475724,3.1587850715066565,10231.406992530545,NQ=F,v2,13496,2024-01-25,2026-06-05
22,0.22727272727272727,-0.2881359473447986,-3.169495420792734,-3.5364564047963865,0.5158406221806326,9683.050457920726,YM=F,baseline,13492,2024-01-25,2026-06-05
10,0.4,-0.05839837507270536,-0.29199187536355087,-2.154502602317994,0.8924973462068907,9970.800812463645,YM=F,v2,13492,2024-01-25,2026-06-05
14,0.42857142857142855,0.343361924740192,2.4035334731813185,-1.248506688202488,1.9100869958430085,10240.353347318132,RTY=F,baseline,13528,2024-01-25,2026-06-05
14,0.5,-0.015134990164120496,-0.10594493114878256,-1.469233977527815,0.9717053514574282,9989.405506885121,RTY=F,v2,13528,2024-01-25,2026-06-05
0,,,0.0,0.0,,10000.0,^GSPC,baseline,5003,2023-07-25,2026-06-05
2,0.0,-1.1026735768835576,-1.1026735768835505,-1.1026735768835532,0.0,9889.732642311645,^GSPC,v2,5003,2023-07-25,2026-06-05
0,,,0.0,0.0,,10000.0,^NDX,baseline,5003,2023-07-25,2026-06-05
2,1.0,0.7378904431439733,0.7378904431439626,0.0,,10073.789044314397,^NDX,v2,5003,2023-07-25,2026-06-05
0,,,0.0,0.0,,10000.0,^DJI,baseline,5003,2023-07-25,2026-06-05
1,1.0,0.14333048054214154,0.07166524027106824,-0.0018424387034997236,,10007.166524027107,^DJI,v2,5003,2023-07-25,2026-06-05
2,0.0,-0.6677250684865246,-0.6677250684865244,-0.6687285901160734,0.0,9933.227493151348,^FTSE,baseline,6435,2023-08-01,2026-06-05
2,1.0,0.2063257351334689,0.2063257351334835,-0.0072228266027692485,,10020.632573513349,^FTSE,v2,6435,2023-08-01,2026-06-05
2,0.5,0.5262526843445846,0.5262526843445636,-0.33454336158796816,3.0976229137829505,10052.625268434456,^GDAXI,baseline,6462,2023-08-03,2026-06-05
0,,,0.0,0.0,,10000.0,^GDAXI,v2,6462,2023-08-03,2026-06-05
0,,,0.0,0.0,,10000.0,^N225,baseline,5019,2023-06-23,2026-06-05
0,,,0.0,0.0,,10000.0,^N225,v2,5019,2023-06-23,2026-06-05
14,0.2857142857142857,-0.2350362306180664,-1.6452536143264695,-1.864622276615737,0.6409429564630519,9835.474638567353,GC=F,baseline,13539,2024-01-25,2026-06-05
12,0.5833333333333334,0.17134392751346006,1.028063565080739,-2.080676760354918,1.3858296796511342,10102.806356508074,GC=F,v2,13539,2024-01-25,2026-06-05
14,0.42857142857142855,0.3889881278156736,2.7229168947096927,-1.0269975696263742,1.8964782519502887,10272.291689470969,SI=F,baseline,13536,2024-01-25,2026-06-05
9,0.3333333333333333,-0.18738099656359264,-0.8432144845361811,-1.5549124360368978,0.7291969853574789,9915.678551546382,SI=F,v2,13536,2024-01-25,2026-06-05
9,0.0,-0.944583632238349,-4.250626345072539,-4.250626345072542,0.0,9574.937365492746,HG=F,baseline,13533,2024-01-25,2026-06-05
5,0.4,-0.16875133922531962,-0.42187834806328706,-1.3441878229941358,0.7350068459304931,9957.81216519367,HG=F,v2,13533,2024-01-25,2026-06-05
6,0.3333333333333333,-0.1238617610935998,-0.3715852832808175,-1.8476867145854472,0.8003752261749646,9962.841471671918,PL=F,baseline,13530,2024-01-25,2026-06-05
9,0.4444444444444444,-0.04982373940218044,-0.2242068273097919,-1.0546270275296676,0.9143434280749181,9977.579317269021,PL=F,v2,13530,2024-01-25,2026-06-05
13,0.5384615384615384,0.30637139538625896,1.9914140700106886,-1.5478359227906187,1.6407508904613708,10199.141407001069,BTC-USD,baseline,17242,2024-06-17,2026-06-06
15,0.5333333333333333,-0.014259744402035495,-0.10694808301529024,-1.7186792667304325,0.970465229554901,9989.305191698471,BTC-USD,v2,17242,2024-06-17,2026-06-06
23,0.34782608695652173,0.24635428145638807,2.8330742367484785,-1.040789056323849,1.4698433249298926,10283.307423674849,ETH-USD,baseline,17239,2024-06-17,2026-06-06
13,0.6923076923076923,0.3487347897961197,2.266776133674786,-1.034362389479562,2.083489162497523,10226.677613367478,ETH-USD,v2,17239,2024-06-17,2026-06-06
