trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker,preset,bars,start,end
21,0.3333333333333333,-0.5378621625451862,-5.647552706724435,-6.217105844084299,0.2739978389636546,9435.244729327556,EURUSD=X,v2_loose,17001,2023-09-03,2026-06-05
19,0.47368421052631576,-0.07211635818151937,-0.685105402724473,-3.3039694693863293,0.8714819082956138,9931.489459727552,GBPUSD=X,v2_loose,17003,2023-09-03,2026-06-05
23,0.2608695652173913,-0.49699199333331484,-5.715407923333116,-5.928174245975305,0.3108651126699889,9428.459207666689,AUDUSD=X,v2_loose,17101,2023-09-03,2026-06-05
22,0.3181818181818182,-0.3638019041462766,-4.00182094560898,-4.480621955189937,0.3682186238455184,9599.817905439102,USDJPY=X,v2_loose,16904,2023-09-03,2026-06-05
18,0.3333333333333333,-0.2540781833932342,-2.2867036505391125,-4.605438527366134,0.5903730654128415,9771.329634946089,USDCAD=X,v2_loose,17101,2023-09-03,2026-06-05
22,0.7272727272727273,0.2790097140127293,3.0691068541400357,-1.5998258821189029,1.9361642308492857,10306.910685414005,ES=F,v2_loose,13499,2024-01-25,2026-06-05
15,0.6666666666666666,0.15244501853316567,1.1433376389987426,-1.1464992370636533,1.4294791722488174,10114.333763899875,NQ=F,v2_loose,13496,2024-01-25,2026-06-05
17,0.6470588235294118,0.48262381762274237,4.102302449793305,-2.169773603093023,2.4869726600460678,10410.230244979331,YM=F,v2_loose,13492,2024-01-25,2026-06-05
31,0.5161290322580645,-0.09447223822490848,-1.4643196924861157,-3.447410123740298,0.8140561742642395,9853.568030751389,RTY=F,v2_loose,13528,2024-01-25,2026-06-05
10,0.7,0.16114109967742443,0.8057054983871215,-0.9229934494491927,1.48226539614571,10080.570549838712,^GSPC,v2_loose,5003,2023-07-25,2026-06-05
9,0.5555555555555556,0.020075920840320314,0.09034164378145526,-1.066309710133952,1.0422013589691947,10009.034164378145,^NDX,v2_loose,5003,2023-07-25,2026-06-05
14,0.9285714285714286,0.30744558605392647,2.1521191023774477,-0.5452929793838546,4.884693239334282,10215.211910237746,^DJI,v2_loose,5003,2023-07-25,2026-06-05
4,0.5,-0.4355387781784012,-0.8710775563567918,-1.0751849083241358,0.1898346511256968,9912.89224436432,^FTSE,v2_loose,6435,2023-08-01,2026-06-05
4,0.5,-0.17086788578168657,-0.3417357715633673,-1.080106540876452,0.6945357037706666,9965.826422843664,^GDAXI,v2_loose,6462,2023-08-03,2026-06-05
0,,,0.0,0.0,,10000.0,^N225,v2_loose,5019,2023-06-23,2026-06-05
22,0.5909090909090909,0.11228929991158738,1.2351822990274597,-1.5670203955485125,1.2572220563076415,10123.518229902746,GC=F,v2_loose,13539,2024-01-25,2026-06-05
22,0.5,-0.025932905714350748,-0.285261962857819,-2.067995384881051,0.9499236930113881,9971.473803714218,SI=F,v2_loose,13536,2024-01-25,2026-06-05
13,0.5384615384615384,0.11376266841888424,0.739457344722716,-2.0991976380226696,1.2364290564043054,10073.94573447227,HG=F,v2_loose,13533,2024-01-25,2026-06-05
20,0.5,-0.11621946072161948,-1.1621946072162603,-2.422210921631127,0.7756268917034306,9883.780539278374,PL=F,v2_loose,13530,2024-01-25,2026-06-05
24,0.5,0.020248440100475308,0.24298128120572304,-2.4661674103321998,1.039193719680474,10024.298128120572,BTC-USD,v2_loose,17242,2024-06-17,2026-06-06
29,0.4827586206896552,-0.20455559134921303,-2.9660560745636055,-4.1290409063119276,0.613519562033787,9703.39439254364,ETH-USD,v2_loose,17239,2024-06-17,2026-06-06
17,0.4117647058823529,-0.11418569442718103,-0.9705784026309949,-3.4210380947847443,0.8344990768882476,9902.9421597369,NZDUSD=X,v2_loose,17093,2023-09-03,2026-06-05
15,0.3333333333333333,-0.3564110661074802,-2.6730829958060864,-2.6730829958060895,0.4275214749303781,9732.691700419391,EURJPY=X,v2_loose,17013,2023-09-03,2026-06-05
22,0.36363636363636365,-0.16206458785233635,-1.7827104663757032,-4.67344767940832,0.7438162272450084,9821.72895336243,GBPJPY=X,v2_loose,17009,2023-09-03,2026-06-05
20,0.25,-0.27419224776192846,-2.7419224776192963,-3.839343393509298,0.6282905745644219,9725.80775223807,AUDJPY=X,v2_loose,17014,2023-09-03,2026-06-05
19,0.47368421052631576,-0.07479251706614316,-0.7105289121283942,-3.5585867221237457,0.8435115259245429,9928.94710878716,EURGBP=X,v2_loose,17027,2023-09-03,2026-06-05
20,0.6,-0.12372770610542312,-1.237277061054265,-2.3797076032325575,0.7000627011805634,9876.272293894574,CL=F,v2_loose,13318,2024-01-25,2026-06-05
20,0.5,0.06728858854359686,0.672885885435992,-2.0627280334224274,1.1294379480853234,10067.288588543599,NG=F,v2_loose,13294,2024-01-25,2026-06-05
13,0.7692307692307693,0.38137350471111636,2.4789277806222643,-0.6922389327183498,2.5424592808853608,10247.892778062227,RB=F,v2_loose,13102,2024-01-25,2026-06-05
26,0.5,0.08992924873809784,1.1690802335952766,-2.537945717023474,1.173768632982318,10116.908023359529,SOL-USD,v2_loose,17241,2024-06-17,2026-06-06
27,0.4444444444444444,-0.08827285237921345,-1.191683507119401,-3.05610038676401,0.8426677722474475,9880.83164928806,XRP-USD,v2_loose,17242,2024-06-17,2026-06-06
29,0.3793103448275862,-0.19166560411775296,-2.7791512597074464,-3.2131930633357593,0.6948593418414063,9722.084874029255,DOGE-USD,v2_loose,17240,2024-06-17,2026-06-06
