ticker,train_start,train_end,test_end,zone_pct,rr_tp2,climax_mx,is_trades,is_win_rate,is_return_pct,trades,win_rate,total_return_pct,max_dd_pct,profit_factor
ES=F,2024-01-25,2024-09-21,2025-01-19,0.15,3.0,1.75,6,0.8333333333333334,2.65303939119248,3,0.3333333333333333,-1.0095788359457014,-1.0095788359457039,0.06471644861916576
ES=F,2024-03-25,2024-11-20,2025-03-20,0.2,2.0,1.5,9,0.8888888888888888,3.1413580367813276,3,0.3333333333333333,-1.0095788359457014,-1.0095788359457039,0.06471644861916576
ES=F,2024-05-24,2025-01-19,2025-05-19,0.1,3.0,1.5,5,0.8,0.4373746407649648,2,0.5,-0.488506538593958,-0.5208487857528372,0.062400100835105825
ES=F,2024-07-23,2025-03-20,2025-07-18,0.15,1.5,2.0,4,0.75,0.0022132114996464836,2,0.5,-0.023007582027401163,-0.5208487857528417,0.9558267530678047
ES=F,2024-09-21,2025-05-19,2025-09-16,0.15,1.5,2.0,6,0.5,-1.4291353886355829,3,1.0,1.74864506538559,0.0,
ES=F,2024-11-20,2025-07-18,2025-11-15,0.15,1.5,2.0,7,0.5714285714285714,-0.9358396850494888,5,0.8,1.5590066858401697,-0.40595821896537093,4.766010722214457
ES=F,2025-01-19,2025-09-16,2026-01-14,0.1,3.0,1.75,5,0.8,1.733963177134723,0,,0.0,0.0,
ES=F,2025-03-20,2025-11-15,2026-03-15,0.15,3.0,1.75,6,0.8333333333333334,3.003945554854748,3,0.6666666666666666,-0.4282238007850214,-0.5224578391074602,0.18114247557051832
ES=F,2025-05-19,2026-01-14,2026-05-14,0.15,3.0,1.75,7,1.0,3.611819041796549,1,0.0,-0.5340931121198045,-0.5340931121198083,0.0
NQ=F,2024-01-25,2024-09-21,2025-01-19,0.15,3.0,1.75,5,0.8,2.103618904422122,0,,0.0,0.0,
NQ=F,2024-03-25,2024-11-20,2025-03-20,0.15,3.0,1.75,4,0.5,1.3373864806237146,0,,0.0,0.0,
NQ=F,2024-05-24,2025-01-19,2025-05-19,0.15,3.0,2.0,3,0.3333333333333333,0.38336738146154126,2,0.5,-0.5042290154473772,-0.5209663610514654,0.03229031490915555
NQ=F,2024-07-23,2025-03-20,2025-07-18,0.1,1.5,1.5,3,0.0,-1.5869880427908045,2,0.5,0.1775205215163833,-0.520966361051469,1.340752368652136
NQ=F,2024-09-21,2025-05-19,2025-09-16,0.2,1.5,1.75,3,0.3333333333333333,-1.0196015595612673,2,1.0,1.3309154530749545,0.0,
NQ=F,2024-11-20,2025-07-18,2025-11-15,0.15,3.0,1.5,3,0.6666666666666666,0.43260677114198565,2,0.5,-0.4426810293796324,-0.5212062094722677,0.15133039554703048
NQ=F,2025-01-19,2025-09-16,2026-01-14,0.2,3.0,1.5,5,0.6,1.1835547242606381,2,0.5,-0.46934012947987824,-0.521206209472275,0.09951163100091312
NQ=F,2025-03-20,2025-11-15,2026-03-15,0.2,3.0,1.5,6,0.5,0.7186884051484155,1,1.0,0.08092411811584377,0.0,
NQ=F,2025-05-19,2026-01-14,2026-05-14,0.2,3.0,1.5,5,0.8,1.8392054657994983,2,1.0,0.12443561082520205,0.0,
YM=F,2024-01-25,2024-09-21,2025-01-19,0.15,1.5,1.5,3,1.0,0.9863191570466112,5,0.2,-1.4794394997668325,-2.169773603093023,0.32293716862883814
